全部频道,#genre#
东方卫视,https://live3.rxip.sc96655.com/live/dfwsH265.m3u8
都市剧场,https://live3.rxip.sc96655.com/live/yxfydsjcHDH265.m3u8
欢笑剧场,https://live3.rxip.sc96655.com/live/hxjc-4k.m3u8
上海教育,http://101.83.47.112:4022/rtp/239.45.3.252:5140
生活时尚,https://live3.rxip.sc96655.com/live/shssH265.m3u8
法治天地,https://live3.rxip.sc96655.com/live/fztx.m3u8
劲爆体育,https://live3.rxip.sc96655.com/live/lqhxjcHDH265.m3u8
魅力足球,https://live3.rxip.sc96655.com/live/mlyy.m3u8
新视觉,https://live3.rxip.sc96655.com/live/ycxsjH265.m3u8
先锋乒羽,https://live3.rxip.sc96655.com/live/xfpy.m3u8
CCTV-1,https://live3.rxip.sc96655.com/live/CCTV-1H265.m3u8
CCTV-2,https://live3.rxip.sc96655.com/live/CCTV-2H265.m3u8
CCTV-3,https://live3.rxip.sc96655.com/live/CCTV-3H265.m3u8
CCTV-4,https://live3.rxip.sc96655.com/live/CCTV-4H265.m3u8
CCTV-5,https://live3.rxip.sc96655.com/live/CCTV-5H265.m3u8
CCTV-5+,https://live3.rxip.sc96655.com/live/CCTV-5plusH265.m3u8
CCTV-6,https://live3.rxip.sc96655.com/live/CCTV-6H265.m3u8
CCTV-7,https://live3.rxip.sc96655.com/live/CCTV-7H265.m3u8
CCTV-8,https://live3.rxip.sc96655.com/live/CCTV-8H265.m3u8
CCTV-9,https://live3.rxip.sc96655.com/live/CCTV-9H265.m3u8
CCTV-10,https://live3.rxip.sc96655.com/live/CCTV-10H265.m3u8
CCTV-11,https://live3.rxip.sc96655.com/live/CCTV-11-H265.m3u8
CCTV-12,https://live3.rxip.sc96655.com/live/CCTV-12H265.m3u8
CCTV-13,https://live3.rxip.sc96655.com/live/CCTV-xw.m3u8
CCTV-14,https://live3.rxip.sc96655.com/live/CCTV-14H265.m3u8
CCTV-15,https://live3.rxip.sc96655.com/live/CCTV-15-yyH265.m3u8
CCTV-16,https://live3.rxip.sc96655.com/live/CCTV-16.m3u8
CCTV-17,https://live3.rxip.sc96655.com/live/CCTV-17.m3u8
北京卫视,https://live3.rxip.sc96655.com/live/bjwsH265.m3u8
江苏卫视,https://live3.rxip.sc96655.com/live/jswsH265.m3u8
浙江卫视,https://live3.rxip.sc96655.com/live/zjwsH265.m3u8
湖南卫视,https://live3.rxip.sc96655.com/live/hnwsH265.m3u8
山东卫视,https://live3.rxip.sc96655.com/live/sdwsH265.m3u8
黑龙江卫视,https://live3.rxip.sc96655.com/live/hljwsH265.m3u8
安徽卫视,https://live3.rxip.sc96655.com/live/ahwsH265.m3u8
天津卫视,https://live3.rxip.sc96655.com/live/tjwsH265.m3u8
江西卫视,https://live3.rxip.sc96655.com/live/jxwsH265.m3u8
辽宁卫视,https://live3.rxip.sc96655.com/live/lnwsHDH264.m3u8
湖北卫视,https://live3.rxip.sc96655.com/live/hbwsH265.m3u8
广东卫视,https://live3.rxip.sc96655.com/live/gdwsH265.m3u8
深圳卫视,https://live3.rxip.sc96655.com/live/szwsH265.m3u8
东南卫视,https://live3.rxip.sc96655.com/live/dnwsfjwsH265.m3u8
四川卫视,https://live3.rxip.sc96655.com/live/scwsH265.m3u8
重庆卫视,https://live3.rxip.sc96655.com/live/cqwsH265.m3u8
内蒙古卫视,https://live3.rxip.sc96655.com/live/nmgws.m3u8
河南卫视,https://live3.rxip.sc96655.com/live/hnws35.m3u8
山西卫视,https://live3.rxip.sc96655.com/live/sxws42.m3u8
陕西卫视,https://live3.rxip.sc96655.com/live/sxws.m3u8
甘肃卫视,https://live3.rxip.sc96655.com/live/gsws.m3u8
云南卫视,https://live3.rxip.sc96655.com/live/ynws.m3u8
广西卫视,https://live3.rxip.sc96655.com/live/gxws.m3u8
贵州卫视,https://live3.rxip.sc96655.com/live/gzwsH265.m3u8
西藏卫视,https://live3.rxip.sc96655.com/live/xzwsH264.m3u8
吉林卫视,https://live3.rxip.sc96655.com/live/jlwsH265.m3u8
海南卫视,https://live3.rxip.sc96655.com/live/hnws.m3u8
兵团卫视,https://live3.rxip.sc96655.com/live/btws.m3u8
凤凰中文,https://live3.rxip.sc96655.com/live/test1.m3u8
凤凰资讯,https://live3.rxip.sc96655.com/live/test2.m3u8

上海频道,#genre#
东方卫视,https://live3.rxip.sc96655.com/live/dfwsH265.m3u8
都市剧场,https://live3.rxip.sc96655.com/live/yxfydsjcHDH265.m3u8
欢笑剧场,https://live3.rxip.sc96655.com/live/hxjc-4k.m3u8
上海教育,http://101.83.47.112:4022/rtp/239.45.3.252:5140
生活时尚,https://live3.rxip.sc96655.com/live/shssH265.m3u8
法治天地,https://live3.rxip.sc96655.com/live/fztx.m3u8
劲爆体育,https://live3.rxip.sc96655.com/live/lqhxjcHDH265.m3u8
魅力足球,https://live3.rxip.sc96655.com/live/mlyy.m3u8
新视觉,https://live3.rxip.sc96655.com/live/ycxsjH265.m3u8
先锋乒羽,https://live3.rxip.sc96655.com/live/xfpy.m3u8

央视频道,#genre#
CCTV-1,https://live3.rxip.sc96655.com/live/CCTV-1H265.m3u8
CCTV-2,https://live3.rxip.sc96655.com/live/CCTV-2H265.m3u8
CCTV-3,https://live3.rxip.sc96655.com/live/CCTV-3H265.m3u8
CCTV-4,https://live3.rxip.sc96655.com/live/CCTV-4H265.m3u8
CCTV-5,https://live3.rxip.sc96655.com/live/CCTV-5H265.m3u8
CCTV-5+,https://live3.rxip.sc96655.com/live/CCTV-5plusH265.m3u8
CCTV-6,https://live3.rxip.sc96655.com/live/CCTV-6H265.m3u8
CCTV-7,https://live3.rxip.sc96655.com/live/CCTV-7H265.m3u8
CCTV-8,https://live3.rxip.sc96655.com/live/CCTV-8H265.m3u8
CCTV-9,https://live3.rxip.sc96655.com/live/CCTV-9H265.m3u8
CCTV-10,https://live3.rxip.sc96655.com/live/CCTV-10H265.m3u8
CCTV-11,https://live3.rxip.sc96655.com/live/CCTV-11-H265.m3u8
CCTV-12,https://live3.rxip.sc96655.com/live/CCTV-12H265.m3u8
CCTV-13,https://live3.rxip.sc96655.com/live/CCTV-xw.m3u8
CCTV-14,https://live3.rxip.sc96655.com/live/CCTV-14H265.m3u8
CCTV-15,https://live3.rxip.sc96655.com/live/CCTV-15-yyH265.m3u8
CCTV-16,https://live3.rxip.sc96655.com/live/CCTV-16.m3u8
CCTV-17,https://live3.rxip.sc96655.com/live/CCTV-17.m3u8

卫视频道,#genre#
北京卫视,https://live3.rxip.sc96655.com/live/bjwsH265.m3u8
江苏卫视,https://live3.rxip.sc96655.com/live/jswsH265.m3u8
浙江卫视,https://live3.rxip.sc96655.com/live/zjwsH265.m3u8
湖南卫视,https://live3.rxip.sc96655.com/live/hnwsH265.m3u8
山东卫视,https://live3.rxip.sc96655.com/live/sdwsH265.m3u8
黑龙江卫视,https://live3.rxip.sc96655.com/live/hljwsH265.m3u8
安徽卫视,https://live3.rxip.sc96655.com/live/ahwsH265.m3u8
天津卫视,https://live3.rxip.sc96655.com/live/tjwsH265.m3u8
江西卫视,https://live3.rxip.sc96655.com/live/jxwsH265.m3u8
辽宁卫视,https://live3.rxip.sc96655.com/live/lnwsHDH264.m3u8
湖北卫视,https://live3.rxip.sc96655.com/live/hbwsH265.m3u8
广东卫视,https://live3.rxip.sc96655.com/live/gdwsH265.m3u8
深圳卫视,https://live3.rxip.sc96655.com/live/szwsH265.m3u8
东南卫视,https://live3.rxip.sc96655.com/live/dnwsfjwsH265.m3u8
四川卫视,https://live3.rxip.sc96655.com/live/scwsH265.m3u8
重庆卫视,https://live3.rxip.sc96655.com/live/cqwsH265.m3u8
内蒙古卫视,https://live3.rxip.sc96655.com/live/nmgws.m3u8
河南卫视,https://live3.rxip.sc96655.com/live/hnws35.m3u8
山西卫视,https://live3.rxip.sc96655.com/live/sxws42.m3u8
陕西卫视,https://live3.rxip.sc96655.com/live/sxws.m3u8
甘肃卫视,https://live3.rxip.sc96655.com/live/gsws.m3u8
云南卫视,https://live3.rxip.sc96655.com/live/ynws.m3u8
广西卫视,https://live3.rxip.sc96655.com/live/gxws.m3u8
贵州卫视,https://live3.rxip.sc96655.com/live/gzwsH265.m3u8
西藏卫视,https://live3.rxip.sc96655.com/live/xzwsH264.m3u8
吉林卫视,https://live3.rxip.sc96655.com/live/jlwsH265.m3u8
海南卫视,https://live3.rxip.sc96655.com/live/hnws.m3u8
兵团卫视,https://live3.rxip.sc96655.com/live/btws.m3u8

香港频道,#genre#
凤凰中文,https://live3.rxip.sc96655.com/live/test1.m3u8
凤凰资讯,https://live3.rxip.sc96655.com/live/test2.m3u8
